# Data scraped on: 2025-05-22 02:18:50
Rank,Team,2025,Last 3,Last 1,Home,Away,2024
1,Boston,25.4%,22.7%,30.0%,23.0%,28.1%,32.9%
2,NY Mets,27.1%,42.1%,16.7%,25.3%,28.3%,33.9%
3,Texas,29.1%,44.4%,60.0%,26.9%,31.4%,34.2%
4,SF Giants,29.6%,27.3%,25.0%,28.2%,31.4%,33.2%
5,LA Angels,30.3%,33.3%,27.3%,29.7%,30.7%,37.1%
6,Minnesota,30.8%,29.2%,27.3%,32.4%,29.4%,34.6%
7,Detroit,31.2%,27.6%,0.0%,25.8%,35.4%,31.9%
8,Washington,31.5%,50.0%,57.1%,31.9%,31.2%,32.0%
9,Seattle,31.8%,35.0%,50.0%,33.8%,29.9%,37.2%
10,Milwaukee,32.1%,28.6%,28.6%,31.3%,32.8%,32.0%
11,St. Louis,32.7%,40.9%,28.6%,30.2%,34.7%,35.4%
12,Kansas City,32.7%,36.4%,50.0%,33.3%,32.2%,34.2%
13,Colorado,33.1%,32.6%,33.3%,30.1%,36.8%,34.2%
14,Chi Cubs,33.5%,43.5%,16.7%,32.0%,34.9%,32.2%
15,Cleveland,33.8%,33.3%,33.3%,30.1%,36.8%,40.2%
16,Philadelphia,33.8%,40.0%,36.4%,33.0%,34.7%,34.7%
17,NY Yankees,33.9%,38.1%,30.0%,33.1%,34.8%,37.3%
18,Tampa Bay,34.3%,33.3%,42.9%,30.6%,42.2%,33.5%
19,San Diego,34.5%,44.0%,35.7%,34.9%,34.2%,33.9%
20,Miami,35.0%,31.7%,37.5%,33.5%,36.9%,36.6%
21,Pittsburgh,37.0%,47.6%,25.0%,36.8%,37.3%,34.8%
22,Chi Sox,37.1%,42.1%,57.1%,34.4%,39.3%,35.6%
23,Toronto,37.4%,33.3%,60.0%,38.7%,35.7%,36.0%
24,LA Dodgers,37.5%,36.0%,14.3%,38.9%,35.6%,37.0%
25,Sacramento,38.2%,54.5%,64.3%,44.0%,31.3%,36.2%
26,Houston,38.4%,43.5%,50.0%,40.6%,36.4%,33.9%
27,Cincinnati,38.5%,25.0%,22.2%,40.8%,36.6%,37.4%
28,Atlanta,38.7%,42.3%,25.0%,37.2%,39.9%,32.3%
29,Baltimore,39.9%,44.0%,28.6%,40.0%,39.7%,35.1%
30,Arizona,41.5%,55.6%,20.0%,40.2%,43.0%,37.9%
